"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"22","-","-","0","0","","v Sri Lanka","Colombo (RPS)","25 Aug 1999"
"0","-","-","2","0","","v Australia","Colombo (SSC)","28 Aug 1999"
"13","-","-","1","0","","v Sri Lanka","Colombo (SSC)","29 Aug 1999"
"12","-","-","2","0","","v Zimbabwe","Singapore","4 Sep 1999"
"39","-","-","0","0","","v West Indies","Singapore","5 Sep 1999"
"29","-","-","-","-","","v West Indies","Singapore","7 Sep 1999"
"103*","-","-","1","0","","v West Indies","Singapore","8 Sep 1999"
"5","-","-","0","0","","v West Indies","Toronto","11 Sep 1999"
"16","-","-","0","0","","v West Indies","Toronto","12 Sep 1999"
"77","-","-","4","0","","v West Indies","Toronto","14 Sep 1999"
"9*","0","10","2","0","","v South Africa","Nairobi (Gym)","26 Sep 1999"
"30","-","-","0","0","","v Kenya","Nairobi (Gym)","29 Sep 1999"
"12","-","-","2","0","","v Zimbabwe","Nairobi (Gym)","1 Oct 1999"
"30","-","-","1","0","","v South Africa","Nairobi (Gym)","3 Oct 1999"
"39","-","-","2","0","","v New Zealand","Rajkot","5 Nov 1999"
"153","-","-","0","0","","v New Zealand","Hyderabad (Deccan)","8 Nov 1999"
"14","-","-","1","0","","v New Zealand","Gwalior","11 Nov 1999"
"5","-","-","0","0","","v New Zealand","Guwahati","14 Nov 1999"
"29*","-","-","1","0","","v New Zealand","Delhi","17 Nov 1999"
"8","-","-","1","0","","v Pakistan","Brisbane","10 Jan 2000"
"60","-","-","0","0","","v Australia","Melbourne","12 Jan 2000"
"22","-","-","1","0","","v Australia","Sydney","14 Jan 2000"
"15","-","-","0","0","","v Pakistan","Hobart","21 Jan 2000"
"32","-","-","1","0","","v Pakistan","Adelaide","25 Jan 2000"
"63","-","-","3","0","","v Australia","Adelaide","26 Jan 2000"
"3","-","-","1","0","","v Pakistan","Perth","28 Jan 2000"
"65","-","-","0","0","","v Australia","Perth","30 Jan 2000"
"17","2","43","1","0","","v South Africa","Kochi","9 Mar 2000"
"36","0","9","0","0","","v South Africa","Jamshedpur","12 Mar 2000"
"73","1","16","0","0","","v South Africa","Faridabad","15 Mar 2000"
"3","-","-","0","0","","v South Africa","Vadodara","17 Mar 2000"
"79","-","-","1","0","","v South Africa","Nagpur","19 Mar 2000"
"8","-","-","0","0","","v South Africa","Sharjah","22 Mar 2000"
"26","-","-","0","0","","v Pakistan","Sharjah","23 Mar 2000"
"29","-","-","0","0","","v Pakistan","Sharjah","26 Mar 2000"
"26","-","-","0","0","","v South Africa","Sharjah","27 Mar 2000"
"DNB","-","-","0","0","","v Bangladesh","Dhaka","30 May 2000"
"24","-","-","2","0","","v Sri Lanka","Dhaka","1 Jun 2000"
"26","-","-","1","0","","v Pakistan","Dhaka","3 Jun 2000"
"68*","-","-","1","0","","v Kenya","Nairobi (Gym)","3 Oct 2000"
"9","-","-","0","0","","v Australia","Nairobi (Gym)","7 Oct 2000"
"58","-","-","0","0","","v South Africa","Nairobi (Gym)","13 Oct 2000"
"22","-","-","0","0","","v New Zealand","Nairobi (Gym)","15 Oct 2000"
"16","-","-","0","0","","v Sri Lanka","Sharjah","20 Oct 2000"
"85","-","-","0","0","","v Zimbabwe","Sharjah","22 Oct 2000"
"9","-","-","0","0","","v Zimbabwe","Cuttack","2 Dec 2000"
"62","-","-","1","0","","v Zimbabwe","Ahmedabad","5 Dec 2000"
"30","-","-","0","0","","v Zimbabwe","Jodhpur","8 Dec 2000"
"DNB","-","-","0","0","","v Zimbabwe","Kanpur","11 Dec 2000"
"6","-","-","1","0","","v Zimbabwe","Rajkot","14 Dec 2000"
"80","-","-","1","0","","v Australia","Bengaluru","25 Mar 2001"
"13","-","-","0","0","","v Australia","Pune","28 Mar 2001"
"15","-","-","0","0","","v Australia","Indore","31 Mar 2001"
"7","-","-","0","0","","v Australia","Visakhapatnam","3 Apr 2001"
"31","-","-","0","0","","v Australia","Margao","6 Apr 2001"
"DNB","-","-","1","0","","v Zimbabwe","Harare","24 Jun 2001"
"72*","-","-","0","0","","v Zimbabwe","Bulawayo","27 Jun 2001"
"4","-","-","0","0","","v West Indies","Bulawayo","30 Jun 2001"
"15","-","-","1","0","","v West Indies","Harare","4 Jul 2001"
"30","-","-","0","0","","v West Indies","Harare","7 Jul 2001"
