"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"226","17","243","-","-","0","0","","v Australia","Adelaide","25 Nov 2005"
"5","0","5","-","-","0","0","","v New Zealand","Auckland","9 Mar 2006"
"1","1","2","-","-","0","0","","v New Zealand","Wellington","17 Mar 2006"
"83","-","83","-","-","-","-","","v New Zealand","Napier","25 Mar 2006"
"18","0","18","-","-","3","0","","v India","St John's","2 Jun 2006"
"7","120","127","-","-","1","0","","v India","Gros Islet","10 Jun 2006"
"10","19","29","-","-","4","0","","v India","Basseterre","22 Jun 2006"
"26","11","37","-","-","5","0","","v India","Kingston","30 Jun 2006"
"61","122","183","-","-","1","0","","v Pakistan","Lahore","11 Nov 2006"
"216","-","216","-","-","2","0","","v Pakistan","Multan","19 Nov 2006"
"0","49","49","-","-","0","0","","v Pakistan","Karachi","27 Nov 2006"
