"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"45","130*","175","-","-","2","0","","v Pakistan","Colombo (SSC)","20 Jul 2009"
"8","46","54","-","-","0","0","","v New Zealand","Galle","18 Aug 2009"
"50","109","159","-","-","1","0","","v New Zealand","Colombo (SSC)","26 Aug 2009"
"31","-","31","-","-","0","0","","v India","Ahmedabad","16 Nov 2009"
"44","11","55","-","-","1","0","","v India","Kanpur","24 Nov 2009"
"18","137","155","-","-","0","0","","v India","Mumbai (BS)","2 Dec 2009"
"103","DNB","103","-","-","1","0","","v India","Galle","18 Jul 2010"
"219","42*","261","-","-","3","0","","v India","Colombo (SSC)","26 Jul 2010"
"75","28","103","-","-","2","0","","v India","Colombo (PSS)","3 Aug 2010"
"73","4","77","-","-","0","0","","v West Indies","Galle","15 Nov 2010"
"150","1*","151","-","-","0","0","","v West Indies","Colombo (RPS)","23 Nov 2010"
"TDNB","-","-","-","-","0","0","","v West Indies","Pallekele","1 Dec 2010"
"11","14","25","-","-","0","0","","v England","Cardiff","26 May 2011"
"26","12","38","-","-","0","0","","v England","Lord's","3 Jun 2011"
"2","119","121","-","-","0","0","","v England","Southampton","16 Jun 2011"
"10","17","27","-","-","0","0","","v Australia","Galle","31 Aug 2011"
"48","69","117","0","4","3","0","","v Australia","Pallekele","8 Sep 2011"
"79","DNB","79","-","-","0","0","","v Australia","Colombo (SSC)","16 Sep 2011"
"2","211","213","-","-","0","0","","v Pakistan","Abu Dhabi","18 Oct 2011"
"78","30","108","-","-","0","0","","v Pakistan","Dubai (DSC)","26 Oct 2011"
"144","51","195","-","-","1","0","","v Pakistan","Sharjah","3 Nov 2011"
"1","2","3","-","-","0","0","","v South Africa","Centurion","15 Dec 2011"
"0","108","108","-","-","0","0","","v South Africa","Durban","26 Dec 2011"
"35","34","69","-","-","0","0","","v South Africa","Cape Town","3 Jan 2012"
"0","14","14","-","-","0","0","","v England","Galle","26 Mar 2012"
"0","21","21","-","-","0","0","","v England","Colombo (PSS)","3 Apr 2012"
"199*","1","200","-","-","1","0","","v Pakistan","Galle","22 Jun 2012"
"192","24*","216","-","-","0","0","","v Pakistan","Colombo (SSC)","30 Jun 2012"
"0","74*","74","-","-","0","0","","v Pakistan","Pallekele","8 Jul 2012"
"5","DNB","5","-","-","0","0","","v New Zealand","Galle","17 Nov 2012"
"0","16","16","-","-","0","0","","v New Zealand","Colombo (PSS)","25 Nov 2012"
"4","63","67","-","-","1","0","","v Australia","Hobart","14 Dec 2012"
"58","27*","85","-","-","0","0","","v Australia","Melbourne","26 Dec 2012"
"142","105","247","-","-","0","0","","v Bangladesh","Galle","8 Mar 2013"
"139","55","194","-","-","0","0","","v Bangladesh","Colombo (RPS)","16 Mar 2013"
"16","55","71","-","-","1","0","","v Pakistan","Abu Dhabi","31 Dec 2013"
"26","9*","35","0","7","0","0","","v Pakistan","Dubai (DSC)","8 Jan 2014"
"52","8","60","-","-","1","0","","v Pakistan","Sharjah","16 Jan 2014"
"75","-","75","-","-","0","0","","v Bangladesh","Dhaka","27 Jan 2014"
"319","105","424","-","-","0","0","","v Bangladesh","Chattogram","4 Feb 2014"
"147","61","208","-","-","1","0","","v England","Lord's","12 Jun 2014"
"79","55","134","-","-","1","0","","v England","Leeds","20 Jun 2014"
"24","76","100","-","-","0","0","","v South Africa","Galle","16 Jul 2014"
"0","72","72","-","-","1","0","","v South Africa","Colombo (SSC)","24 Jul 2014"
"221","21","242","-","-","1","0","","v Pakistan","Galle","6 Aug 2014"
"22","59","81","-","-","1","0","","v Pakistan","Colombo (SSC)","14 Aug 2014"
"6","1","7","-","-","1","0","","v New Zealand","Christchurch","26 Dec 2014"
"203","5","208","-","-","1","0","","v New Zealand","Wellington","3 Jan 2015"
"50","18","68","-","-","1","0","","v Pakistan","Galle","17 Jun 2015"
"34","0","34","-","-","3","0","","v Pakistan","Colombo (PSS)","25 Jun 2015"
"5","40","45","-","-","0","0","","v India","Galle","12 Aug 2015"
"32","18","50","-","-","0","0","","v India","Colombo (PSS)","20 Aug 2015"
