"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"80","47*","127","-","-","2","0","","v South Africa","Kolkata","28 Nov 2004"
"0","-","0","-","-","2","0","","v Bangladesh","Dhaka","10 Dec 2004"
"160","-","160","-","-","3","0","","v Bangladesh","Chattogram","17 Dec 2004"
"50","DNB","50","-","-","2","0","","v Pakistan","Mohali","8 Mar 2005"
"110","135","245","-","-","1","0","","v Pakistan","Kolkata","16 Mar 2005"
"22","16","38","-","-","1","0","","v Pakistan","Bengaluru","24 Mar 2005"
"77","-","77","-","-","1","0","","v Zimbabwe","Bulawayo","13 Sep 2005"
"98","DNB","98","-","-","3","0","","v Zimbabwe","Harare","20 Sep 2005"
"0","23","23","-","-","1","0","","v Australia","Sydney","14 Oct 2005"
"32","-","32","-","-","0","0","","v Sri Lanka","Chennai","2 Dec 2005"
"24","53","77","-","-","1","0","","v Sri Lanka","Delhi","10 Dec 2005"
"128*","-","128","-","-","0","0","","v Pakistan","Lahore","13 Jan 2006"
"103","5*","108","-","-","1","0","","v Pakistan","Faisalabad","21 Jan 2006"
"3","2","5","-","-","1","0","","v Pakistan","Karachi","29 Jan 2006"
"40","71","111","-","-","2","0","","v England","Nagpur","1 Mar 2006"
"95","42*","137","-","-","3","0","","v England","Mohali","9 Mar 2006"
"52","9","61","-","-","2","0","","v England","Mumbai","18 Mar 2006"
"49","62","111","-","-","3","0","","v West Indies","St John's","2 Jun 2006"
"146","-","146","-","-","2","0","","v West Indies","Gros Islet","10 Jun 2006"
"22","68*","90","-","-","2","0","","v West Indies","Basseterre","22 Jun 2006"
"81","68","149","-","-","1","0","","v West Indies","Kingston","30 Jun 2006"
"32","1","33","-","-","0","0","","v South Africa","Johannesburg","15 Dec 2006"
"11","5","16","-","-","0","0","","v South Africa","Durban","26 Dec 2006"
"29","47","76","-","-","1","0","","v South Africa","Cape Town","2 Jan 2007"
"61","2","63","-","-","0","0","","v Bangladesh","Chattogram","18 May 2007"
"129","-","129","-","-","2","0","","v Bangladesh","Dhaka","25 May 2007"
"2","9","11","-","-","2","0","","v England","Lord's","19 Jul 2007"
"37","11*","48","-","-","1","0","","v England","Nottingham","27 Jul 2007"
"55","12","67","-","-","1","0","","v England","The Oval","9 Aug 2007"
"38","34","72","-","-","1","0","","v Pakistan","Delhi","22 Nov 2007"
"50","8*","58","-","-","3","0","","v Pakistan","Kolkata","30 Nov 2007"
"19","42","61","-","-","0","0","","v Pakistan","Bengaluru","8 Dec 2007"
"5","16","21","-","-","3","0","","v Australia","Melbourne","26 Dec 2007"
"53","38","91","-","-","3","0","","v Australia","Sydney","2 Jan 2008"
"93","3","96","-","-","3","0","","v Australia","Perth","16 Jan 2008"
"18","11*","29","-","-","0","0","","v Australia","Adelaide","24 Jan 2008"
"111","-","111","-","-","3","0","","v South Africa","Chennai","26 Mar 2008"
"3","17","20","-","-","1","0","","v South Africa","Ahmedabad","3 Apr 2008"
"29","18*","47","-","-","2","0","","v South Africa","Kanpur","11 Apr 2008"
"14","10","24","-","-","2","0","","v Sri Lanka","Colombo (SSC)","23 Jul 2008"
"2","44","46","-","-","2","0","","v Sri Lanka","Galle","31 Jul 2008"
"10","68","78","-","-","0","0","","v Sri Lanka","Colombo (PSS)","8 Aug 2008"
"51","5","56","-","-","0","0","","v Australia","Bengaluru","9 Oct 2008"
"39","DNB","39","-","-","1","0","","v Australia","Mohali","17 Oct 2008"
"11","11","22","-","-","0","0","","v Australia","Delhi","29 Oct 2008"
"0","3","3","-","-","2","0","","v Australia","Nagpur","6 Nov 2008"
"3","4","7","-","-","1","0","","v England","Chennai","11 Dec 2008"
"136","0","136","-","-","0","0","","v England","Mohali","19 Dec 2008"
"66","8*","74","-","-","1","0","","v New Zealand","Hamilton","18 Mar 2009"
"83","62","145","-","-","0","0","","v New Zealand","Napier","26 Mar 2009"
"35","60","95","-","-","3","0","","v New Zealand","Wellington","3 Apr 2009"
"177","38","215","-","-","1","0","","v Sri Lanka","Ahmedabad","16 Nov 2009"
"144","-","144","-","-","1","0","","v Sri Lanka","Kanpur","24 Nov 2009"
"74","-","74","-","-","2","0","","v Sri Lanka","Mumbai (BS)","2 Dec 2009"
"4","24","28","-","-","3","0","","v Bangladesh","Chattogram","17 Jan 2010"
"111*","DNB","111","-","-","2","0","","v Bangladesh","Dhaka","24 Jan 2010"
"18","44","62","-","-","0","0","","v Sri Lanka","Galle","18 Jul 2010"
"3","-","3","-","-","1","0","","v Sri Lanka","Colombo (SSC)","26 Jul 2010"
"23","7","30","-","-","2","0","","v Sri Lanka","Colombo (PSS)","3 Aug 2010"
"77","13","90","-","-","1","0","","v Australia","Mohali","1 Oct 2010"
"1","21*","22","-","-","1","0","","v Australia","Bengaluru","9 Oct 2010"
"104","1","105","-","-","0","0","","v New Zealand","Ahmedabad","4 Nov 2010"
"45","DNB","45","-","-","1","0","","v New Zealand","Hyderabad (Deccan)","12 Nov 2010"
"191","-","191","-","-","0","0","","v New Zealand","Nagpur","20 Nov 2010"
"14","43","57","-","-","0","0","","v South Africa","Centurion","16 Dec 2010"
"25","2","27","-","-","1","0","","v South Africa","Durban","26 Dec 2010"
"5","31","36","-","-","0","0","","v South Africa","Cape Town","2 Jan 2011"
"40","112","152","-","-","0","0","","v West Indies","Kingston","20 Jun 2011"
"5","55","60","-","-","2","0","","v West Indies","Bridgetown","28 Jun 2011"
"5","34*","39","-","-","1","0","","v West Indies","Roseau","6 Jul 2011"
"103*","36","139","-","-","0","0","","v England","Lord's","21 Jul 2011"
"117","6","123","-","-","4","0","","v England","Nottingham","29 Jul 2011"
"22","18","40","-","-","0","0","","v England","Birmingham","10 Aug 2011"
"146*","13","159","-","-","0","0","","v England","The Oval","18 Aug 2011"
"54","31","85","-","-","0","0","","v West Indies","Delhi","6 Nov 2011"
"119","-","119","-","-","2","0","","v West Indies","Kolkata","14 Nov 2011"
"82","33","115","-","-","1","0","","v West Indies","Mumbai","22 Nov 2011"
"68","10","78","-","-","0","0","","v Australia","Melbourne","26 Dec 2011"
"5","29","34","-","-","0","0","","v Australia","Sydney","3 Jan 2012"
"9","47","56","-","-","0","0","","v Australia","Perth","13 Jan 2012"
"1","25","26","-","-","0","0","","v Australia","Adelaide","24 Jan 2012"
