"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"17","-","-","3","0","","v Pakistan","Dambulla","18 May 2003"
"11","-","-","1","0","","v New Zealand","Dambulla","19 May 2003"
"15","-","-","1","0","","v West Indies","Bridgetown","7 Jun 2003"
"31","-","-","0","0","","v West Indies","Bridgetown","8 Jun 2003"
"11","-","-","0","0","","v West Indies","Kingstown","11 Jun 2003"
"DNB","-","-","1","0","","v England","Dambulla","18 Nov 2003"
"58","-","-","0","0","","v Australia","Dambulla","20 Feb 2004"
"39","-","-","0","0","","v Australia","Dambulla","22 Feb 2004"
"15","-","-","0","0","","v Australia","Colombo (RPS)","25 Feb 2004"
"101","-","-","2","0","","v Australia","Colombo (RPS)","27 Feb 2004"
"37","-","-","0","0","","v Australia","Colombo (SSC)","29 Feb 2004"
"73*","-","-","1","1","","v Zimbabwe","Bulawayo","20 Apr 2004"
"DNB","-","-","0","1","","v Zimbabwe","Bulawayo","22 Apr 2004"
"DNB","-","-","3","0","","v Zimbabwe","Harare","25 Apr 2004"
"63","-","-","3","1","","v Zimbabwe","Harare","27 Apr 2004"
"17","-","-","1","0","","v U.A.E.","Dambulla","17 Jul 2004"
"57","-","-","3","0","","v India","Dambulla","18 Jul 2004"
"14*","-","-","1","0","","v Pakistan","Colombo (RPS)","21 Jul 2004"
"DNB","-","-","2","1","","v Bangladesh","Colombo (RPS)","23 Jul 2004"
"15","-","-","2","0","","v India","Colombo (RPS)","27 Jul 2004"
"53","-","-","0","1","","v India","Colombo (RPS)","1 Aug 2004"
"24","-","-","0","1","","v South Africa","Colombo (RPS)","20 Aug 2004"
"63","-","-","1","0","","v South Africa","Colombo (RPS)","22 Aug 2004"
"14","-","-","2","2","","v South Africa","Dambulla","25 Aug 2004"
"74*","-","-","0","1","","v South Africa","Dambulla","28 Aug 2004"
"72","-","-","2","1","","v South Africa","Colombo (SSC)","31 Aug 2004"
"28","-","-","3","0","","v Zimbabwe","The Oval","14 Sep 2004"
"17*","-","-","1","0","","v England","Southampton","17 Sep 2004"
"38","-","-","0","0","","v Pakistan","Karachi","6 Oct 2004"
"DNB","-","-","1","0","","v Zimbabwe","Rawalpindi","9 Oct 2004"
"69","-","-","1","0","","v Pakistan","Lahore","14 Oct 2004"
"68","-","-","1","2","","v Pakistan","Lahore","16 Oct 2004"
"1","-","-","0","0","","v New Zealand","Auckland","26 Dec 2004"
"24","-","-","2","3","","v ICC World XI","Melbourne","10 Jan 2005"
"14","-","-","1","0","","v India","Dambulla","30 Jul 2005"
"79","-","-","1","1","","v West Indies","Dambulla","2 Aug 2005"
"16","-","-","0","0","","v India","Dambulla","3 Aug 2005"
"7","-","-","0","0","","v West Indies","Colombo (RPS)","6 Aug 2005"
"8","-","-","0","0","","v India","Colombo (RPS)","9 Aug 2005"
"35","-","-","2","0","","v Africa XI","Centurion","17 Aug 2005"
"61","-","-","1","0","","v Africa XI","Durban","20 Aug 2005"
"1*","-","-","0","0","","v Africa XI","Durban","21 Aug 2005"
"22","-","-","1","0","","v Bangladesh","Colombo (SSC)","31 Aug 2005"
"28","-","-","0","0","","v Bangladesh","Colombo (RPS)","2 Sep 2005"
"17*","-","-","1","0","","v Bangladesh","Colombo (RPS)","4 Sep 2005"
