Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start Date
16,-,-,0,0,,v South Africa,Melbourne (Docklands),16-Aug-00
39,-,-,0,0,,v South Africa,Melbourne (Docklands),18-Aug-00
5,-,-,0,0,,v South Africa,Melbourne (Docklands),20-Aug-00
46,-,-,0,0,,v India,Nairobi (Gym),07-Oct-00
73,-,-,1,0,,v West Indies,Melbourne,11-Jan-01
10*,1,28,0,0,,v West Indies,Brisbane,14-Jan-01
93,-,-,0,0,,v West Indies,Sydney,17-Jan-01
68,-,-,0,0,,v Zimbabwe,Melbourne,21-Jan-01
15,1,12,0,0,,v Zimbabwe,Sydney,28-Jan-01
6,-,-,0,0,,v Zimbabwe,Hobart,30-Jan-01
32,-,-,0,0,,v Zimbabwe,Perth,04-Feb-01
33,-,-,1,0,,v West Indies,Sydney,07-Feb-01
63,-,-,1,0,,v West Indies,Melbourne,09-Feb-01
9,-,-,1,0,,v India,Bengaluru,25-Mar-01
23,-,-,0,0,,v India,Indore,31-Mar-01
101,-,-,0,0,,v India,Visakhapatnam,03-Apr-01
4,-,-,1,0,,v India,Margao,06-Apr-01
70,-,-,0,0,,v Pakistan,Cardiff,09-Jun-01
102,-,-,0,0,,v England,Bristol,10-Jun-01
21,-,-,1,0,,v England,Manchester,14-Jun-01
70*,-,-,1,0,,v England,The Oval,21-Jun-01
35*,-,-,0,0,,v Pakistan,Lord's,23-Jun-01
45,-,-,1,0,,v New Zealand,Melbourne,11-Jan-02
51,-,-,0,0,,v South Africa,Melbourne,13-Jan-02
11,-,-,1,0,,v New Zealand,Sydney,17-Jan-02
80,-,-,0,0,,v South Africa,Brisbane,20-Jan-02
33,-,-,0,0,,v South Africa,Sydney,22-Jan-02
0,-,-,0,0,,v New Zealand,Adelaide,26-Jan-02
8,-,-,1,0,,v New Zealand,Melbourne,29-Jan-02
26,-,-,0,0,,v South Africa,Perth,03-Feb-02
14,-,-,0,0,,v South Africa,Johannesburg,22-Mar-02
0,-,-,2,0,,v South Africa,Centurion,24-Mar-02
3,-,-,1,0,,v South Africa,Potchefstroom,27-Mar-02
129,-,-,0,0,,v South Africa,Bloemfontein,30-Mar-02
44*,-,-,1,0,,v South Africa,Durban,03-Apr-02
92,-,-,0,0,,v South Africa,Port Elizabeth,06-Apr-02
1,-,-,0,0,,v South Africa,Cape Town,09-Apr-02
13,-,-,0,0,,v Pakistan,Melbourne (Docklands),12-Jun-02
0,-,-,1,0,,v Pakistan,Melbourne (Docklands),15-Jun-02
14,-,-,0,0,,v Pakistan,Brisbane,19-Jun-02
65,-,-,0,0,,v Pakistan,Nairobi (Gym),30-Aug-02
DNB,-,-,0,0,,v Kenya,Nairobi (Gym),02-Sep-02
21*,-,-,3,0,,v Pakistan,Nairobi (Gym),04-Sep-02
29*,-,-,0,0,,v Pakistan,Nairobi (Gym),07-Sep-02
37,-,-,0,0,,v New Zealand,Colombo (SSC),15-Sep-02
9*,-,-,0,0,,v Bangladesh,Colombo (SSC),19-Sep-02
3,-,-,0,0,,v Sri Lanka,Colombo (RPS),27-Sep-02
18,-,-,0,0,,v England,Sydney,13-Dec-02
119,-,-,0,0,,v England,Melbourne,15-Dec-02
17,-,-,0,0,,v Sri Lanka,Perth,22-Dec-02
15,-,-,0,0,,v Sri Lanka,Sydney,09-Jan-03
15,-,-,1,0,,v England,Hobart,11-Jan-03
15,-,-,1,0,,v Sri Lanka,Brisbane,15-Jan-03
106*,-,-,0,0,,v Sri Lanka,Melbourne,21-Jan-03
DNB,-,-,1,0,,v England,Sydney,23-Jan-03
1,-,-,1,0,,v England,Melbourne,25-Jan-03
53,-,-,2,0,,v Pakistan,Johannesburg,11-Feb-03
24*,-,-,0,0,,v India,Centurion,15-Feb-03
DNB,-,-,2,0,,v Netherlands,Potchefstroom,20-Feb-03
38,-,-,1,0,,v Zimbabwe,Bulawayo,24-Feb-03
2,-,-,2,0,,v Namibia,Potchefstroom,27-Feb-03
18,-,-,0,0,,v England,Port Elizabeth,02-Mar-03
114,-,-,0,0,,v Sri Lanka,Centurion,07-Mar-03
6,-,-,1,0,,v New Zealand,Port Elizabeth,11-Mar-03
18,-,-,2,0,,v Kenya,Durban,15-Mar-03
2,-,-,1,0,,v Sri Lanka,Port Elizabeth,18-Mar-03
140*,-,-,0,0,,v India,Johannesburg,23-Mar-03
59,-,-,0,0,,v West Indies,Kingston,17-May-03
57*,-,-,0,0,,v West Indies,Kingston,18-May-03
32,-,-,0,0,,v West Indies,Gros Islet,21-May-03
38,-,-,1,0,,v West Indies,Port of Spain,24-May-03
10,-,-,0,0,,v West Indies,Port of Spain,25-May-03
2,-,-,0,0,,v West Indies,St George's,30-May-03
2*,-,-,0,0,,v West Indies,St George's,01-Jun-03
29,-,-,1,0,,v Bangladesh,Cairns,02-Aug-03
DNB,-,-,1,0,,v Bangladesh,Cairns,03-Aug-03
101,-,-,2,0,,v Bangladesh,Darwin,06-Aug-03
2,-,-,0,0,,v India,Gwalior,26-Oct-03
12,-,-,1,0,,v New Zealand,Faridabad,29-Oct-03
31,-,-,0,0,,v India,Mumbai,01-Nov-03
16,-,-,1,0,,v New Zealand,Pune,03-Nov-03
52,-,-,2,0,,v New Zealand,Guwahati,09-Nov-03
108*,-,-,0,0,,v India,Bengaluru,12-Nov-03
36,-,-,0,0,,v India,Kolkata,18-Nov-03
18,-,-,2,0,,v India,Melbourne,09-Jan-04
21,-,-,2,0,,v Zimbabwe,Sydney,11-Jan-04
37,-,-,0,0,,v Zimbabwe,Hobart,16-Jan-04
7,-,-,0,0,,v India,Brisbane,18-Jan-04
42,-,-,0,0,,v India,Sydney,22-Jan-04
63,-,-,0,0,,v Zimbabwe,Adelaide,26-Jan-04
35,-,-,-,-,,v Zimbabwe,Melbourne,29-Jan-04
88,-,-,0,0,,v India,Melbourne,06-Feb-04
4,-,-,0,0,,v India,Sydney,08-Feb-04
58,-,-,0,0,,v Sri Lanka,Dambulla,20-Feb-04
69,-,-,1,0,,v Sri Lanka,Dambulla,22-Feb-04
63,-,-,0,0,,v Sri Lanka,Colombo (RPS),25-Feb-04
67,-,-,0,0,,v Sri Lanka,Colombo (RPS),27-Feb-04
91,-,-,3,0,,v Zimbabwe,Harare,25-May-04
10,-,-,0,0,,v Zimbabwe,Harare,27-May-04
DNB,-,-,0,0,,v Zimbabwe,Harare,29-May-04
26,-,-,-,-,,v India,Amstelveen,23-Aug-04
25,-,-,0,0,,v Pakistan,Amstelveen,28-Aug-04
4,-,-,0,0,,v Pakistan,Lord's,04-Sep-04
8*,-,-,0,0,,v U.S.A.,Southampton,13-Sep-04
14,-,-,0,0,,v New Zealand,The Oval,16-Sep-04
29,-,-,0,0,,v England,Birmingham,21-Sep-04
29,-,-,1,0,,v New Zealand,Melbourne (Docklands),05-Dec-04
32,-,-,0,0,,v New Zealand,Sydney,08-Dec-04
115,-,-,1,0,,v Asia XI,Melbourne,10-Jan-05
78,-,-,1,0,,v West Indies,Melbourne,14-Jan-05
6,-,-,0,0,,v Pakistan,Hobart,16-Jan-05
2,-,-,1,0,,v West Indies,Brisbane,21-Jan-05
17*,-,-,1,0,,v Pakistan,Sydney,23-Jan-05
0,-,-,1,0,,v West Indies,Adelaide,26-Jan-05
29,-,-,0,0,,v Pakistan,Perth,30-Jan-05
