"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"2","-","-","1","0","","v West Indies","Colombo (RPS)","11 Dec 2001"
"96","-","-","2","0","","v Zimbabwe","Colombo (RPS)","12 Dec 2001"
"106*","-","-","1","0","","v West Indies","Kandy","15 Dec 2001"
"63","-","-","0","0","","v West Indies","Colombo (RPS)","19 Dec 2001"
"8","-","-","1","0","","v Pakistan","Sharjah","8 Apr 2002"
"38","-","-","0","0","","v New Zealand","Sharjah","9 Apr 2002"
"1","-","-","0","0","","v Pakistan","Sharjah","12 Apr 2002"
"39","0","9","0","0","","v New Zealand","Sharjah","14 Apr 2002"
"0","-","-","1","0","","v Pakistan","Sharjah","17 Apr 2002"
"29","-","-","1","0","","v England","Nottingham","27 Jun 2002"
"62","-","-","0","0","","v India","The Oval","30 Jun 2002"
"4","-","-","2","0","","v England","Leeds","2 Jul 2002"
"36","-","-","0","0","","v India","Birmingham","6 Jul 2002"
"42","-","-","0","0","","v England","Manchester","7 Jul 2002"
"31","0","16","0","0","","v India","Bristol","11 Jul 2002"
"18","-","-","1","0","","v Bangladesh","Colombo (SSC)","4 Aug 2002"
"27*","-","-","0","0","","v Bangladesh","Colombo (SSC)","5 Aug 2002"
"16","-","-","0","0","","v Bangladesh","Colombo (RPS)","7 Aug 2002"
"32","-","-","1","0","","v Pakistan","Tangier","14 Aug 2002"
"32","-","-","1","0","","v South Africa","Tangier","15 Aug 2002"
"43","-","-","3","0","","v Pakistan","Tangier","17 Aug 2002"
"11","-","-","0","0","","v South Africa","Tangier","19 Aug 2002"
"5","-","-","1","0","","v South Africa","Tangier","21 Aug 2002"
"DNB","-","-","0","0","","v Pakistan","Colombo (RPS)","12 Sep 2002"
"14","-","-","0","0","","v Netherlands","Colombo (RPS)","16 Sep 2002"
"1*","-","-","0","0","","v Australia","Colombo (RPS)","27 Sep 2002"
"13","-","-","0","0","","v India","Colombo (RPS)","29 Sep 2002"
"77","-","-","1","0","","v India","Colombo (RPS)","30 Sep 2002"
"31","-","-","0","0","","v South Africa","Johannesburg","27 Nov 2002"
"32","-","-","1","0","","v South Africa","Centurion","29 Nov 2002"
"15*","-","-","2","0","","v South Africa","Benoni","1 Dec 2002"
"9","0","10","0","0","","v South Africa","Kimberley","4 Dec 2002"
"3","-","-","0","0","","v South Africa","Bloemfontein","6 Dec 2002"
"71","-","-","2","0","","v England","Brisbane","17 Dec 2002"
"30","-","-","2","0","","v England","Perth","20 Dec 2002"
"21","-","-","1","0","","v Australia","Perth","22 Dec 2002"
"37*","-","-","2","0","","v Australia","Sydney","9 Jan 2003"
"33","-","-","1","0","","v England","Sydney","13 Jan 2003"
"56","-","-","0","0","","v Australia","Brisbane","15 Jan 2003"
"13","-","-","0","0","","v England","Adelaide","17 Jan 2003"
"0","0","8","0","0","","v Australia","Melbourne","21 Jan 2003"
"1","-","-","0","0","","v New Zealand","Bloemfontein","10 Feb 2003"
"DNB","-","-","1","0","","v Bangladesh","Pietermaritzburg","14 Feb 2003"
"DNB","-","-","1","0","","v Canada","Paarl","19 Feb 2003"
"5","-","-","0","0","","v Kenya","Nairobi (Gym)","24 Feb 2003"
"9","-","-","0","0","","v West Indies","Cape Town","28 Feb 2003"
"1","-","-","0","0","","v South Africa","Durban","3 Mar 2003"
"0","-","-","0","0","","v Australia","Centurion","7 Mar 2003"
"0","-","-","0","0","","v India","Johannesburg","10 Mar 2003"
"5","-","-","0","0","","v Australia","Port Elizabeth","18 Mar 2003"
"22","-","-","2","0","","v Pakistan","Dambulla","10 May 2003"
"2","-","-","0","0","","v New Zealand","Dambulla","13 May 2003"
"0","-","-","1","0","","v Pakistan","Dambulla","18 May 2003"
"38","-","-","1","0","","v New Zealand","Dambulla","19 May 2003"
"8","-","-","0","0","","v West Indies","Bridgetown","7 Jun 2003"
"32","-","-","0","0","","v West Indies","Bridgetown","8 Jun 2003"
"51","-","-","0","0","","v West Indies","Kingstown","11 Jun 2003"
