"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"2","0","13","2","0","","v South Africa","Cape Town","26 Nov 2006"
"35","0","33","1","0","","v South Africa","Durban","22 Nov 2006"
"10","-","-","1","0","","v Australia","Mohali","29 Oct 2006"
"29","-","-","0","0","","v West Indies","Ahmedabad","26 Oct 2006"
"35","-","-","1","0","","v England","Jaipur","15 Oct 2006"
"4","-","-","0","0","","v Australia","Kuala Lumpur","22 Sep 2006"
"65","-","-","0","0","","v West Indies","Kuala Lumpur","20 Sep 2006"
"12","-","-","1","0","","v Australia","Kuala Lumpur","16 Sep 2006"
"141*","-","-","0","0","","v West Indies","Kuala Lumpur","14 Sep 2006"
"2*","-","-","-","-","","v Sri Lanka","Colombo (SSC)","18 Aug 2006"
"0","1","27","0","0","","v Pakistan","Multan","16 Feb 2006"
"95","1","52","0","0","","v Pakistan","Lahore","13 Feb 2006"
"42","0","45","0","0","","v Pakistan","Rawalpindi","11 Feb 2006"
"100","-","-","0","0","","v Pakistan","Peshawar","6 Feb 2006"
"30","-","-","0","0","","v South Africa","Mumbai","28 Nov 2005"
"2","-","-","0","0","","v South Africa","Kolkata","25 Nov 2005"
"2","-","-","0","0","","v South Africa","Bengaluru","19 Nov 2005"
"2","1","43","0","0","","v South Africa","Hyderabad (Deccan)","16 Nov 2005"
"39","-","-","0","0","","v Sri Lanka","Vadodara","12 Nov 2005"
"19","-","-","1","0","","v Sri Lanka","Rajkot","9 Nov 2005"
"11","-","-","1","0","","v Sri Lanka","Pune","3 Nov 2005"
"2","0","10","0","0","","v Sri Lanka","Jaipur","31 Oct 2005"
"67*","-","-","1","0","","v Sri Lanka","Mohali","28 Oct 2005"
"93","-","-","0","0","","v Sri Lanka","Nagpur","25 Oct 2005"
"9","0","24","0","0","","v Pakistan","Delhi","17 Apr 2005"
"1","1","20","0","0","","v Pakistan","Kanpur","15 Apr 2005"
"123","1","36","1","0","","v Pakistan","Ahmedabad","12 Apr 2005"
"6","0","25","1","0","","v Pakistan","Jamshedpur","9 Apr 2005"
"2","0","44","0","0","","v Pakistan","Visakhapatnam","5 Apr 2005"
"4","5","50","1","0","","v Pakistan","Kochi","2 Apr 2005"
"47","4","54","0","0","","v Bangladesh","Dhaka","27 Dec 2004"
"19","-","-","0","0","","v Bangladesh","Chattogram","23 Dec 2004"
"16","0","15","0","0","","v Pakistan","Kolkata","13 Nov 2004"
"74","2","40","0","0","","v Sri Lanka","Colombo (RPS)","1 Aug 2004"
"18","1","23","1","0","","v Sri Lanka","Colombo (RPS)","27 Jul 2004"
"78","3","28","0","0","","v Pakistan","Colombo (RPS)","25 Jul 2004"
"82*","3","35","0","0","","v Bangladesh","Colombo (SSC)","21 Jul 2004"
