"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"148*","-","148","1","2","1","0","","v Australia","Sydney","2 Jan 1992"
"15","40","55","0","16","2","0","","v Australia","Melbourne","26 Dec 1991"
"16","7","23","0","13","0","0","","v Australia","Brisbane","29 Nov 1991"
"11","-","11","-","-","0","0","","v Sri Lanka","Chandigarh","23 Nov 1990"
"21","-","21","-","-","0","0","","v England","The Oval","23 Aug 1990"
"68","119*","187","-","-","2","0","","v England","Manchester","9 Aug 1990"
"10","27","37","-","-","1","0","","v England","Lord's","26 Jul 1990"
"5","DNB","5","-","-","1","0","","v New Zealand","Auckland","22 Feb 1990"
"88","-","88","-","-","0","0","","v New Zealand","Napier","9 Feb 1990"
"0","24","24","-","-","0","0","","v New Zealand","Christchurch","2 Feb 1990"
"35","57","92","-","-","0","0","","v Pakistan","Sialkot","9 Dec 1989"
"41","-","41","-","-","0","0","","v Pakistan","Lahore","1 Dec 1989"
"59","8","67","-","-","1","0","","v Pakistan","Faisalabad","23 Nov 1989"
"15","DNB","15","0","25","0","0","","v Pakistan","Karachi","15 Nov 1989"
