"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"121*","1","11","0","0","","v West Indies","Port Elizabeth","27 Jan 2008"
"1","0","1","0","0","","v West Indies","Durban","1 Feb 2008"
"74*","1","10","0","0","","v West Indies","Johannesburg","3 Feb 2008"
"52","2","25","0","0","","v England","Leeds","22 Aug 2008"
"6","0","4","0","0","","v England","Nottingham","26 Aug 2008"
"9","2","42","0","0","","v England","The Oval","29 Aug 2008"
"1","0","20","0","0","","v England","Lord's","31 Aug 2008"
"0*","-","-","-","-","","v England","Cardiff","3 Sep 2008"
"71","0","7","1","0","","v Kenya","Bloemfontein","31 Oct 2008"
"92*","1","10","0","0","","v Kenya","Kimberley","2 Nov 2008"
"50","0","31","1","0","","v Bangladesh","Potchefstroom","7 Nov 2008"
"49","-","-","1","0","","v Bangladesh","Benoni","9 Nov 2008"
"41","0","35","0","0","","v Australia","Melbourne","16 Jan 2009"
"72","2","57","0","0","","v Australia","Hobart","18 Jan 2009"
"60","0","38","0","0","","v Australia","Sydney","23 Jan 2009"
"13","-","-","1","0","","v Australia","Adelaide","26 Jan 2009"
"31","1","11","0","0","","v Australia","Centurion","5 Apr 2009"
"70","0","19","0","0","","v Australia","Cape Town","9 Apr 2009"
"17","0","25","0","0","","v Australia","Port Elizabeth","13 Apr 2009"
"64","0","21","0","0","","v Australia","Johannesburg","17 Apr 2009"
"41","0","43","0","0","","v Sri Lanka","Centurion","22 Sep 2009"
"36","0","24","0","0","","v New Zealand","Centurion","24 Sep 2009"
"12","1","14","0","0","","v England","Centurion","27 Sep 2009"
"81","-","-","2","0","","v Zimbabwe","Centurion","10 Nov 2009"
"89","3","29","1","0","","v India","Jaipur","21 Feb 2010"
"11","0","44","0","0","","v India","Gwalior","24 Feb 2010"
"104*","-","-","0","0","","v India","Ahmedabad","27 Feb 2010"
"1","0","18","3","0","","v West Indies","North Sound","22 May 2010"
"85","1","7","1","0","","v West Indies","North Sound","24 May 2010"
"31","1","17","2","0","","v West Indies","Roseau","28 May 2010"
"51","0","27","0","0","","v West Indies","Roseau","30 May 2010"
"57","1","38","1","0","","v West Indies","Port of Spain","3 Jun 2010"
"66*","0","22","0","0","","v Pakistan","Abu Dhabi","29 Oct 2010"
"0","1","30","0","0","","v Pakistan","Dubai (DSC)","2 Nov 2010"
"15","1","40","0","0","","v Pakistan","Dubai (DSC)","5 Nov 2010"
"83","3","30","1","0","","v Pakistan","Dubai (DSC)","8 Nov 2010"
"4","0","21","1","0","","v West Indies","Delhi","24 Feb 2011"
"2","2","19","1","0","","v Netherlands","Mohali","3 Mar 2011"
"15","0","14","1","0","","v England","Chennai","6 Mar 2011"
"69","1","43","1","0","","v India","Nagpur","12 Mar 2011"
"19","2","20","1","0","","v Ireland","Kolkata","15 Mar 2011"
"69","-","-","0","0","","v Bangladesh","Dhaka","19 Mar 2011"
"47","0","6","1","0","","v New Zealand","Dhaka","25 Mar 2011"
"15","1","35","0","0","","v Australia","Centurion","19 Oct 2011"
"76","0","42","0","0","","v Australia","Port Elizabeth","23 Oct 2011"
"54","2","17","1","0","","v Australia","Durban","28 Oct 2011"
"72","-","-","0","0","","v Sri Lanka","Paarl","11 Jan 2012"
"37","-","-","0","0","","v Sri Lanka","East London","14 Jan 2012"
"13","2","45","1","0","","v New Zealand","Wellington","25 Feb 2012"
"4","1","32","1","0","","v New Zealand","Napier","29 Feb 2012"
"50","2","53","1","0","","v Pakistan","Cape Town","24 Nov 2013"
"6","0","49","1","0","","v Pakistan","Port Elizabeth","27 Nov 2013"
"10","1","20","2","0","","v India","Johannesburg","5 Dec 2013"
"10","-","-","0","0","","v India","Durban","8 Dec 2013"
"0","-","-","1","0","","v Sri Lanka","Colombo (RPS)","6 Jul 2014"
"1","-","-","0","0","","v Sri Lanka","Pallekele","9 Jul 2014"
"4","-","-","1","0","","v Sri Lanka","Hambantota","12 Jul 2014"
