"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"43*","-","-","0","0","","v Zimbabwe","Hyderabad (Deccan)","16 Feb 1996"
"2","-","-","0","0","","v India","Gwalior","21 Feb 1996"
"8","-","-","2","0","","v Kenya","Pune","29 Feb 1996"
"60","-","-","0","0","","v Australia","Jaipur","4 Mar 1996"
"111","-","-","0","0","","v South Africa","Karachi","11 Mar 1996"
"45","-","-","0","0","","v Australia","Mohali","14 Mar 1996"
"12","-","-","1","0","","v New Zealand","Kingston","26 Mar 1996"
"11","-","-","0","0","","v New Zealand","Port of Spain","29 Mar 1996"
"146*","-","-","0","0","","v New Zealand","Port of Spain","30 Mar 1996"
"17","-","-","0","0","","v New Zealand","Georgetown","3 Apr 1996"
"104","-","-","0","0","","v New Zealand","Kingstown","6 Apr 1996"
"71","-","-","1","0","","v Sri Lanka","Port of Spain","13 Apr 1996"
"5","-","-","0","0","","v Australia","Melbourne","6 Dec 1996"
"26","-","-","0","0","","v Australia","Sydney","8 Dec 1996"
"31*","-","-","0","0","","v Pakistan","Adelaide","17 Dec 1996"
"48","-","-","0","0","","v Pakistan","Brisbane","3 Jan 1997"
"102","-","-","1","0","","v Australia","Brisbane","5 Jan 1997"
"103*","-","-","1","0","","v Pakistan","Perth","10 Jan 1997"
"90","-","-","0","0","","v Australia","Perth","12 Jan 1997"
"0","-","-","0","0","","v Pakistan","Sydney","18 Jan 1997"
"19","-","-","3","0","","v Pakistan","Melbourne","20 Jan 1997"
"25*","-","-","0","0","","v India","Port of Spain","26 Apr 1997"
"0","-","-","0","0","","v India","Port of Spain","27 Apr 1997"
"33","-","-","1","0","","v India","Kingstown","30 Apr 1997"
"DNB","-","-","1","0","","v India","Bridgetown","3 May 1997"
"67","-","-","0","0","","v Sri Lanka","Port of Spain","6 Jun 1997"
"80","-","-","0","0","","v Sri Lanka","Lahore","1 Nov 1997"
"68","-","-","0","0","","v South Africa","Lahore","3 Nov 1997"
"7","-","-","0","0","","v Pakistan","Lahore","4 Nov 1997"
"88","-","-","1","0","","v Pakistan","Sharjah","12 Dec 1997"
"0","-","-","0","0","","v England","Sharjah","13 Dec 1997"
"23","-","-","0","0","","v India","Sharjah","16 Dec 1997"
"2","-","-","0","0","","v England","Sharjah","19 Dec 1997"
"110","-","-","0","0","","v England","Bridgetown","29 Mar 1998"
"24","-","-","1","0","","v England","Bridgetown","1 Apr 1998"
"21","-","-","0","0","","v England","Kingstown","4 Apr 1998"
"51","-","-","1","0","","v England","Kingstown","5 Apr 1998"
"93","0","12","0","0","","v England","Port of Spain","8 Apr 1998"
"16","-","-","0","0","","v Pakistan","Dhaka","29 Oct 1998"
"60*","-","-","0","0","","v India","Dhaka","31 Oct 1998"
"11","-","-","0","0","","v South Africa","Dhaka","1 Nov 1998"
"0","-","-","0","0","","v South Africa","Johannesburg","22 Jan 1999"
"3","-","-","0","0","","v South Africa","East London","24 Jan 1999"
"32","-","-","1","0","","v South Africa","Durban","27 Jan 1999"
"9","-","-","0","0","","v South Africa","Centurion","7 Feb 1999"
"16","-","-","0","0","","v Australia","Kingstown","11 Apr 1999"
"9","-","-","1","0","","v Australia","St George's","14 Apr 1999"
"18*","-","-","0","0","","v Australia","Port of Spain","17 Apr 1999"
"6","-","-","0","0","","v Australia","Port of Spain","18 Apr 1999"
"11","-","-","1","0","","v Pakistan","Bristol","16 May 1999"
"25","-","-","2","0","","v Bangladesh","Dublin","21 May 1999"
"36","-","-","2","0","","v New Zealand","Southampton","24 May 1999"
"25*","-","-","0","0","","v Scotland","Leicester","27 May 1999"
"9","-","-","0","0","","v Australia","Manchester","30 May 1999"
"48","-","-","1","0","","v Zimbabwe","Singapore","2 Sep 1999"
"60","-","-","0","0","","v India","Singapore","5 Sep 1999"
"TDNB","-","-","0","0","","v India","Singapore","7 Sep 1999"
"18","-","-","1","0","","v India","Singapore","8 Sep 1999"
"2","-","-","0","0","","v India","Toronto","11 Sep 1999"
"34","-","-","0","0","","v India","Toronto","12 Sep 1999"
"26","-","-","1","0","","v India","Toronto","14 Sep 1999"
"20","-","-","0","0","","v Pakistan","Toronto","16 Sep 1999"
"26","-","-","0","0","","v Pakistan","Toronto","18 Sep 1999"
"12","-","-","0","0","","v Pakistan","Toronto","19 Sep 1999"
"2","-","-","0","0","","v Bangladesh","Dhaka","8 Oct 1999"
"117","2","12","0","0","","v Bangladesh","Dhaka","9 Oct 1999"
"0","-","-","0","0","","v Sri Lanka","Sharjah","13 Oct 1999"
"8","-","-","1","0","","v Pakistan","Sharjah","14 Oct 1999"
"29","-","-","0","0","","v Sri Lanka","Sharjah","17 Oct 1999"
"30","-","-","0","0","","v Pakistan","Sharjah","19 Oct 1999"
"76","-","-","0","0","","v New Zealand","Auckland","2 Jan 2000"
